2026-03-24 17:07:45 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015C9A6FAAD0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:11:51 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002406632ACF0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:12:11 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002406651A5D0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:12:19 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000240665196D0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:12:19 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000024066519F90>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:14:57 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2026-03-24 17:15:01 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207FBE1A120>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:15:03 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207FBD86850>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:15:03 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207FBDF5090>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:15:06 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2026-03-24 17:15:07 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207FBDF5590>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:15:20 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2026-03-24 17:15:26 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2026-03-24 17:17:08 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207FBD86AD0>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:17:44 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001C98B772270>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-24 17:17:44 | ERROR    | backpack_quant_trading.core.binance_monitor:195 | 获取币安K线失败 ETHUSDT 2h: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=200 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001C98B811810>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
