交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
19,多头出场,2024-05-09 04:02,卖,2309.33,1460.8,3383928.592,-10459.33,-0.31,6778.11,0.20,-12299.94,-0.36,-19815.32,-0.99
19,多头进场,2024-05-08 23:02,买 ,2316.49,1460.8,3383928.592,-10459.33,-0.31,6778.11,0.20,-12299.94,-0.36,-19815.32,-0.99
20,多头出场,2024-05-09 18:02,卖,2307.55,1454.1,3366226.959,-10818.5,-0.32,7023.3,0.21,-12098.11,-0.36,-30633.82,-1.53
20,多头进场,2024-05-09 13:02,买 ,2314.99,1454.1,3366226.959,-10818.5,-0.32,7023.3,0.21,-12098.11,-0.36,-30633.82,-1.53
21,多头出场,2024-05-10 23:02,卖,2358.9,1447.8,3347718.984,67496.44,2.02,95815.41,2.86,-767.33,-0.02,36862.61,1.84
21,多头进场,2024-05-09 19:02,买 ,2312.28,1447.8,3347718.984,67496.44,2.02,95815.41,2.86,-767.33,-0.02,36862.61,1.84
22,多头出场,2024-05-28 13:02,卖,2352.4,1486,3462632.62,33033.78,0.95,42187.54,1.22,-2437.04,-0.07,69896.4,3.49
22,多头进场,2024-05-24 11:02,买 ,2330.17,1486,3462632.62,33033.78,0.95,42187.54,1.22,-2437.04,-0.07,69896.4,3.49
23,多头出场,2024-05-29 12:02,卖,2357.8,1494.2,3518736.406,4288.35,0.12,10937.54,0.31,-3137.82,-0.09,74184.75,3.71
23,多头进场,2024-05-28 23:02,买 ,2354.93,1494.2,3518736.406,4288.35,0.12,10937.54,0.31,-3137.82,-0.09,74184.75,3.71
24,多头出场,2024-05-31 16:02,卖,2340.31,1509.8,3526092.606,7307.43,0.21,24760.72,0.70,-7277.24,-0.21,81492.18,4.07
24,多头进场,2024-05-30 17:02,买 ,2335.47,1509.8,3526092.606,7307.43,0.21,24760.72,0.70,-7277.24,-0.21,81492.18,4.07
25,多头出场,2024-05-31 23:02,卖,2334.58,1501.4,3538514.534,-33376.12,-0.94,4369.07,0.12,-34952.59,-0.99,48116.06,2.41
25,多头进场,2024-05-31 21:02,买 ,2356.81,1501.4,3538514.534,-33376.12,-0.94,4369.07,0.12,-34952.59,-0.99,48116.06,2.41
26,多头出场,2024-06-04 15:02,卖,2343.46,1496.9,3481729.524,26195.75,0.75,43125.69,1.24,-2395.04,-0.07,74311.81,3.72
26,多头进场,2024-06-03 17:02,买 ,2325.96,1496.9,3481729.524,26195.75,0.75,43125.69,1.24,-2395.04,-0.07,74311.81,3.72
27,多头出场,2024-06-06 17:02,卖,2363.17,1512.5,3526227.375,48067.25,1.36,65929.88,1.87,-4930.75,-0.14,122379.06,6.12
27,多头进场,2024-06-05 10:02,买 ,2331.39,1512.5,3526227.375,48067.25,1.36,65929.88,1.87,-4930.75,-0.14,122379.06,6.12
28,多头出场,2024-06-12 13:02,卖,2313.01,1571.8,3607721.104,27868.01,0.77,38729.15,1.07,-11772.78,-0.33,150247.08,7.51
28,多头进场,2024-06-10 13:02,买 ,2295.28,1571.8,3607721.104,27868.01,0.77,38729.15,1.07,-11772.78,-0.33,150247.08,7.51
29,多头出场,2024-06-13 06:02,卖,2324.66,1563,3655200.54,-21756.96,-0.60,4814.04,0.13,-35433.21,-0.97,128490.11,6.42
29,多头进场,2024-06-12 21:02,买 ,2338.58,1563,3655200.54,-21756.96,-0.60,4814.04,0.13,-35433.21,-0.97,128490.11,6.42
30,多头出场,2024-06-17 09:02,卖,2323.41,1568,3618160,24946.88,0.69,45707.2,1.26,-6177.92,-0.17,153437,7.67
30,多头进场,2024-06-14 11:02,买 ,2307.5,1568,3618160,24946.88,0.69,45707.2,1.26,-6177.92,-0.17,153437,7.67
