交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
46,空头出场,2025-07-02 20:00,信号离场,2444.53,4.1279,9999.796471,-90.98,-0.91,226.87,2.27,-154.84,-1.55,-708.77,-7.09
46,空头进场,2025-07-02 00:00,做空入场,2422.49,4.1279,9999.796471,-90.98,-0.91,226.87,2.27,-154.84,-1.55,-708.77,-7.09
47,空头出场,2025-07-06 12:00,信号离场,2513.77,4.0006,9999.939766,-56.65,-0.57,106.18,1.06,-117.02,-1.17,-765.42,-7.65
47,空头进场,2025-07-05 00:00,做空入场,2499.61,4.0006,9999.939766,-56.65,-0.57,106.18,1.06,-117.02,-1.17,-765.42,-7.65
48,空头出场,2025-07-09 00:00,止损/保本,2612.93,3.9419,9999.890758,-300.02,-3.00,24.05,0.24,-300.02,-3.00,-1065.44,-10.65
48,空头进场,2025-07-08 12:00,做空入场,2536.82,3.9419,9999.890758,-300.02,-3.00,24.05,0.24,-300.02,-3.00,-1065.44,-10.65
49,空头出场,2025-07-14 08:00,止损/保本,3027.91,3.4016,9999.717536,-300.02,-3.00,89.02,0.89,-300.02,-3.00,-1365.46,-13.65
49,空头进场,2025-07-13 04:00,做空入场,2939.71,3.4016,9999.717536,-300.02,-3.00,89.02,0.89,-300.02,-3.00,-1365.46,-13.65
50,空头出场,2025-07-20 08:00,止损/保本,3658.45,2.8153,9999.635917,-300,-3.00,73.68,0.74,-300,-3.00,-1665.46,-16.65
50,空头进场,2025-07-19 20:00,做空入场,3551.89,2.8153,9999.635917,-300,-3.00,73.68,0.74,-300,-3.00,-1665.46,-16.65
51,空头出场,2025-07-22 00:00,信号离场,3808.89,2.6406,9999.846576,-57.91,-0.58,84.24,0.84,-187.11,-1.87,-1723.37,-17.23
51,空头进场,2025-07-21 16:00,做空入场,3786.96,2.6406,9999.846576,-57.91,-0.58,84.24,0.84,-187.11,-1.87,-1723.37,-17.23
52,空头出场,2025-07-31 12:00,信号离场,3861.97,2.6382,9999.991572,-188.66,-1.89,317.8,3.18,-250.55,-2.51,-1912.02,-19.12
52,空头进场,2025-07-29 12:00,做空入场,3790.46,2.6382,9999.991572,-188.66,-1.89,317.8,3.18,-250.55,-2.51,-1912.02,-19.12
53,空头出场,2025-08-02 04:00,止盈,3512.02,2.6765,9999.9393,600.02,6.00,600.02,6.00,-56.07,-0.56,-1312.01,-13.12
53,空头进场,2025-08-01 04:00,做空入场,3736.2,2.6765,9999.9393,600.02,6.00,600.02,6.00,-56.07,-0.56,-1312.01,-13.12
54,空头出场,2025-08-07 04:00,信号离场,3682.13,2.7394,9999.90576,-86.92,-0.87,295.36,2.95,-128.72,-1.29,-1398.93,-13.99
54,空头进场,2025-08-05 12:00,做空入场,3650.4,2.7394,9999.90576,-86.92,-0.87,295.36,2.95,-128.72,-1.29,-1398.93,-13.99
55,空头出场,2025-08-12 20:00,止损/保本,4437.02,2.3213,9999.649714,-300,-3.00,333.22,3.33,-300,-3.00,-1698.93,-16.99
55,空头进场,2025-08-11 12:00,做空入场,4307.78,2.3213,9999.649714,-300,-3.00,333.22,3.33,-300,-3.00,-1698.93,-16.99
56,空头出场,2025-08-18 12:00,止盈,4263.9,2.2045,9999.766315,600,6.00,600,6.00,-295.76,-2.96,-1098.93,-10.99
56,空头进场,2025-08-15 04:00,做空入场,4536.07,2.2045,9999.766315,600,6.00,600,6.00,-295.76,-2.96,-1098.93,-10.99
57,空头出场,2025-08-19 00:00,止损/保本,4382.69,2.3501,9999.746003,-300.01,-3.00,72.69,0.73,-300.01,-3.00,-1398.95,-13.99
57,空头进场,2025-08-18 16:00,做空入场,4255.03,2.3501,9999.746003,-300.01,-3.00,72.69,0.73,-300.01,-3.00,-1398.95,-13.99
58,空头出场,2025-08-22 16:00,信号离场,4326,2.3192,9999.741024,-33.12,-0.33,583.79,5.84,-149.38,-1.49,-1432.07,-14.32
58,空头进场,2025-08-19 08:00,做空入场,4311.72,2.3192,9999.741024,-33.12,-0.33,583.79,5.84,-149.38,-1.49,-1432.07,-14.32
59,空头出场,2025-08-26 08:00,止盈,4314.22,2.1788,9999.82048,600,6.00,600,6.00,-204.07,-2.04,-832.07,-8.32
59,空头进场,2025-08-25 16:00,做空入场,4589.6,2.1788,9999.82048,600,6.00,600,6.00,-204.07,-2.04,-832.07,-8.32
60,空头出场,2025-08-30 16:00,信号离场,4399.8,2.2198,9999.888228,233.21,2.33,554.71,5.55,-284.71,-2.85,-598.86,-5.99
60,空头进场,2025-08-28 08:00,做空入场,4504.86,2.2198,9999.888228,233.21,2.33,554.71,5.55,-284.71,-2.85,-598.86,-5.99
61,空头出场,2025-09-02 20:00,信号离场,4346.05,2.3185,9999.6905,-76.63,-0.77,55.37,0.55,-235.86,-2.36,-675.48,-6.75
61,空头进场,2025-09-02 08:00,做空入场,4313,2.3185,9999.6905,-76.63,-0.77,55.37,0.55,-235.86,-2.36,-675.48,-6.75
62,空头出场,2025-09-09 16:00,信号离场,4360.42,2.2747,9999.854164,81.21,0.81,400.62,4.01,-223.67,-2.24,-594.28,-5.94
62,空头进场,2025-09-04 12:00,做空入场,4396.12,2.2747,9999.854164,81.21,0.81,400.62,4.01,-223.67,-2.24,-594.28,-5.94
63,空头出场,2025-09-10 20:00,信号离场,4329.58,2.301,9999.75483,37.39,0.37,162.98,1.63,-47.4,-0.47,-556.88,-5.57
63,空头进场,2025-09-09 20:00,做空入场,4345.83,2.301,9999.75483,37.39,0.37,162.98,1.63,-47.4,-0.47,-556.88,-5.57
64,空头出场,2025-09-11 12:00,止损/保本,4449.87,2.3146,9999.673796,-300,-3.00,4.47,0.04,-300,-3.00,-856.88,-8.57
64,空头进场,2025-09-11 04:00,做空入场,4320.26,2.3146,9999.673796,-300,-3.00,4.47,0.04,-300,-3.00,-856.88,-8.57
65,空头出场,2025-09-17 08:00,信号离场,4499.41,2.1584,9999.608192,288.08,2.88,457.3,4.57,-75.8,-0.76,-568.8,-5.69
65,空头进场,2025-09-14 20:00,做空入场,4632.88,2.1584,9999.608192,288.08,2.88,457.3,4.57,-75.8,-0.76,-568.8,-5.69
66,空头出场,2025-09-22 12:00,止盈,4203.95,2.2359,9999.593211,599.98,6.00,599.98,6.00,-77.05,-0.77,31.18,0.31
66,空头进场,2025-09-20 00:00,做空入场,4472.29,2.2359,9999.593211,599.98,6.00,599.98,6.00,-77.05,-0.77,31.18,0.31
67,空头出场,2025-09-29 04:00,止损/保本,4120.96,2.4994,9999.924442,-300,-3.00,447.22,4.47,-300,-3.00,-268.82,-2.69
67,空头进场,2025-09-25 20:00,做空入场,4000.93,2.4994,9999.924442,-300,-3.00,447.22,4.47,-300,-3.00,-268.82,-2.69
68,空头出场,2025-10-01 16:00,止损/保本,4322.06,2.3831,9999.892727,-300.01,-3.00,250.63,2.51,-300.01,-3.00,-568.83,-5.69
68,空头进场,2025-09-30 12:00,做空入场,4196.17,2.3831,9999.892727,-300.01,-3.00,250.63,2.51,-300.01,-3.00,-568.83,-5.69
69,空头出场,2025-10-05 16:00,信号离场,4604.91,2.2309,9999.830778,-273.26,-2.73,99.1,0.99,-293.97,-2.94,-842.09,-8.42
69,空头进场,2025-10-04 20:00,做空入场,4482.42,2.2309,9999.830778,-273.26,-2.73,99.1,0.99,-293.97,-2.94,-842.09,-8.42
70,空头出场,2025-10-10 16:00,信号离场,4321.05,2.2333,9999.712415,349.51,3.50,480.16,4.80,-176.88,-1.77,-492.58,-4.93
70,空头进场,2025-10-08 04:00,做空入场,4477.55,2.2333,9999.712415,349.51,3.50,480.16,4.80,-176.88,-1.77,-492.58,-4.93
71,空头出场,2025-10-17 16:00,止盈,3744.77,2.5101,9999.73638,599.99,6.00,599.99,6.00,-264.92,-2.65,107.41,1.07
71,空头进场,2025-10-16 08:00,做空入场,3983.8,2.5101,9999.73638,599.99,6.00,599.99,6.00,-264.92,-2.65,107.41,1.07
72,空头出场,2025-10-21 20:00,止损/保本,4032.83,2.4796,9999.805268,0,0.00,482.58,4.83,-40,-0.40,107.41,1.07
72,空头进场,2025-10-20 20:00,做空入场,4032.83,2.4796,9999.805268,0,0.00,482.58,4.83,-40,-0.40,107.41,1.07
73,空头出场,2025-10-23 04:00,止盈,3754.38,2.5037,9999.852911,600.01,6.00,600.01,6.00,-13.22,-0.13,707.42,7.07
73,空头进场,2025-10-22 04:00,做空入场,3994.03,2.5037,9999.852911,600.01,6.00,600.01,6.00,-13.22,-0.13,707.42,7.07
74,空头出场,2025-10-26 20:00,信号离场,4043.08,2.5348,9999.760652,-248.64,-2.49,204.58,2.05,-276.32,-2.76,458.78,4.59
74,空头进场,2025-10-24 20:00,做空入场,3944.99,2.5348,9999.760652,-248.64,-2.49,204.58,2.05,-276.32,-2.76,458.78,4.59
75,空头出场,2025-10-30 00:00,止盈,3849.63,2.4417,9999.640512,600,6.00,600,6.00,-133.1,-1.33,1058.78,10.59
75,空头进场,2025-10-29 00:00,做空入场,4095.36,2.4417,9999.640512,600,6.00,600,6.00,-133.1,-1.33,1058.78,10.59
76,空头出场,2025-11-04 12:00,止盈,3490.3,2.6931,9999.722679,600,6.00,600,6.00,-92.29,-0.92,1658.78,16.59
76,空头进场,2025-11-03 16:00,做空入场,3713.09,2.6931,9999.722679,600,6.00,600,6.00,-92.29,-0.92,1658.78,16.59
77,空头出场,2025-11-11 08:00,止损/保本,3623.65,2.8424,9999.84744,-300.02,-3.00,35.67,0.36,-300.02,-3.00,1358.76,13.59
77,空头进场,2025-11-11 00:00,做空入场,3518.1,2.8424,9999.84744,-300.02,-3.00,35.67,0.36,-300.02,-3.00,1358.76,13.59
78,空头出场,2025-11-12 16:00,止损/保本,3542.88,2.8225,9999.7788,0,0.00,394.75,3.95,-141.46,-1.41,1358.76,13.59
78,空头进场,2025-11-11 16:00,做空入场,3542.88,2.8225,9999.7788,0,0.00,394.75,3.95,-141.46,-1.41,1358.76,13.59
79,空头出场,2025-11-14 00:00,止盈,3289.97,2.8571,9999.764287,599.99,6.00,599.99,6.00,-28.17,-0.28,1958.75,19.59
79,空头进场,2025-11-13 20:00,做空入场,3499.97,2.8571,9999.764287,599.99,6.00,599.99,6.00,-28.17,-0.28,1958.75,19.59
80,空头出场,2025-11-18 00:00,止盈,2985.12,3.1489,9999.867263,600.02,6.00,600.02,6.00,-149.73,-1.50,2558.78,25.59
80,空头进场,2025-11-17 12:00,做空入场,3175.67,3.1489,9999.867263,600.02,6.00,600.02,6.00,-149.73,-1.50,2558.78,25.59
81,空头出场,2025-11-18 20:00,止损/保本,3120.97,3.3002,9999.804012,-300.02,-3.00,286.29,2.86,-300.02,-3.00,2258.75,22.59
81,空头进场,2025-11-18 08:00,做空入场,3030.06,3.3002,9999.804012,-300.02,-3.00,286.29,2.86,-300.02,-3.00,2258.75,22.59
82,空头出场,2025-11-21 00:00,止盈,2842.63,3.3067,9999.725336,600,6.00,600,6.00,-128.7,-1.29,2858.76,28.59
82,空头进场,2025-11-20 08:00,做空入场,3024.08,3.3067,9999.725336,600,6.00,600,6.00,-128.7,-1.29,2858.76,28.59
83,空头出场,2025-11-21 12:00,止盈,2662.98,3.5298,9999.782208,600,6.00,600,6.00,-186.66,-1.87,3458.75,34.59
83,空头进场,2025-11-21 08:00,做空入场,2832.96,3.5298,9999.782208,600,6.00,600,6.00,-186.66,-1.87,3458.75,34.59
84,空头出场,2025-12-01 00:00,信号离场,3027.65,3.3297,9999.821634,-81.34,-0.81,143.88,1.44,-163.12,-1.63,3377.41,33.77
84,空头进场,2025-11-29 16:00,做空入场,3003.22,3.3297,9999.821634,-81.34,-0.81,143.88,1.44,-163.12,-1.63,3377.41,33.77
85,空头出场,2025-12-02 16:00,信号离场,2804.2,3.54,9999.8274,72.96,0.73,377.86,3.78,-105.31,-1.05,3450.37,34.50
85,空头进场,2025-12-01 12:00,做空入场,2824.81,3.54,9999.8274,72.96,0.73,377.86,3.78,-105.31,-1.05,3450.37,34.50
86,空头出场,2025-12-08 00:00,止损/保本,3128.21,3.2926,9999.922534,-300.02,-3.00,439.04,4.39,-300.02,-3.00,3150.34,31.50
86,空头进场,2025-12-06 04:00,做空入场,3037.09,3.2926,9999.922534,-300.02,-3.00,439.04,4.39,-300.02,-3.00,3150.34,31.50
87,空头出场,2025-12-14 00:00,信号离场,3108.1,3.1335,9999.907215,260.68,2.61,470.62,4.71,-254.25,-2.54,3411.02,34.11
87,空头进场,2025-12-11 20:00,做空入场,3191.29,3.1335,9999.907215,260.68,2.61,470.62,4.71,-254.25,-2.54,3411.02,34.11
88,空头出场,2025-12-18 00:00,止盈,2828.91,3.3228,9999.900144,600,6.00,600,6.00,-68.18,-0.68,4011.02,40.11
88,空头进场,2025-12-16 00:00,做空入场,3009.48,3.3228,9999.900144,600,6.00,600,6.00,-68.18,-0.68,4011.02,40.11
89,空头出场,2025-12-19 12:00,止损/保本,2912.14,3.5369,9999.948108,-300,-3.00,74.88,0.75,-380.61,-3.81,3711.02,37.11
