time,open,high,low,close,Volume,Histogram,MACD,Signal line
2025-09-03T03:30:00+08:00,120.8,120.96,119.63,120.15,169903,-1.230833181338403,-2.429606399282335,-1.1987732179439319
2025-09-03T21:30:00+08:00,121.89,122.3,116.73,116.73,260039,-1.3644797701261542,-2.9043729306016246,-1.5398931604754704
2025-09-03T22:30:00+08:00,116.835,119.34,116.61,119,127290,-1.2178135696972632,-3.0621601225970494,-1.8443465528997862
2025-09-03T23:30:00+08:00,119.12,121.51,119.12,119.46,95720,-1.0158755561757231,-3.1141909981194402,-2.098315441943717
2025-09-04T00:30:00+08:00,119.52,119.89,118.12,118.33,44381,-0.8890348649432736,-3.209609023122809,-2.3205741581795354
2025-09-04T01:30:00+08:00,118.3,119.4,117.3,119,140163,-0.6990148339111588,-3.194342700568484,-2.495327866657325
2025-09-04T02:30:00+08:00,119,119,118,118.83,36077,-0.5313700221039381,-3.159540394287248,-2.62817037218331
2025-09-04T03:30:00+08:00,118.84,119.37,118.35,118.5,69307,-0.3955375087270534,-3.1225922580921264,-2.727054749365073
2025-09-04T21:30:00+08:00,117.93,120.31,117.01,117.59,160210,-0.32287762752629945,-3.1306517837729473,-2.807774156246648
2025-09-04T22:30:00+08:00,117.59,118.22,115.4,116.43,101872,-0.308840591883464,-3.1938248961009776,-2.8849843042175136
2025-09-04T23:30:00+08:00,116.45,116.65,115.18,115.65,92860,-0.30732844229492917,-3.269144857086175,-2.961816414791246
2025-09-05T00:30:00+08:00,115.69,117.25,115.5,116.02,99736,-0.23965514094154328,-3.2613853409681752,-3.021730200026632
2025-09-05T01:30:00+08:00,116.07,116.6,115.62,115.66,64923,-0.18010152974167637,-3.2468571122037275,-3.066755582462051
2025-09-05T02:30:00+08:00,115.65,115.8,115.15,115.24,57040,-0.13217765374425827,-3.231977649642374,-3.099799995898116
2025-09-05T03:30:00+08:00,115.19,117.61,115.09,117.6,127377,0.08365904578623073,-2.9952261886653275,-3.0788852344515583
2025-09-05T21:30:00+08:00,118.08,118.8,109.36,109.79,423353,-0.25579058326082116,-3.398623463527585,-3.1428328802667638
2025-09-05T22:30:00+08:00,109.77,110.35,108.03,108.825,231842,-0.48807350759556334,-3.752924764761218,-3.2648512571656547
2025-09-05T23:30:00+08:00,108.78,110.36,108.21,109.36,119749,-0.544170848880337,-3.9450648182660757,-3.4008939693857387
2025-09-06T00:30:00+08:00,109.41,111.09,109.16,110.92,59528,-0.4202443838125838,-3.9261994491514685,-3.5059550653388847
2025-09-06T01:30:00+08:00,110.9,113.57,110.81,113.5,88167,-0.12392707558995841,-3.6608639098263325,-3.536936834236374
2025-09-06T02:30:00+08:00,113.51,114.72,113.46,114.26,109992,0.14904233714334136,-3.350633912807197,-3.4996762499505385
2025-09-06T03:30:00+08:00,114.26,114.59,113.8,114.55,85831,0.362734234002982,-3.046258457446811,-3.408992691449793
2025-09-08T21:30:00+08:00,114,116.74,110.06,115.7,302433,0.5821264961571244,-2.6813345712533874,-3.263461067410512
2025-09-08T22:30:00+08:00,115.76,117.76,115.65,116.75,191502,0.7858821815142005,-2.2811083405177612,-3.0669905220319618
