交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
185,多头进场,2025-11-27 04:00,趋进,3032.28,10447.6659,31680248.36,-286057.1,-0.90,697068.25,2.20,-485816.47,-1.53,33074440,110.25
186,多头出场,2025-12-01 10:00,趋止损,2850.87,10412.8253,31537219.86,-1851608.6,-5.87,215024.84,0.68,-2062364.1,-6.54,31222832,104.08
186,多头进场,2025-12-01 00:00,趋进,3028.69,10412.8253,31537219.86,-1851608.6,-5.87,215024.84,0.68,-2062364.1,-6.54,31222832,104.08
187,多头出场,2025-12-11 20:00,趋出,3192.75,9069.4309,30611505.95,-1655080.5,-5.41,654812.94,2.14,-1887983.4,-6.17,29567750,98.56
187,多头进场,2025-12-10 02:00,趋进,3375.24,9069.4309,30611505.95,-1655080.5,-5.41,654812.94,2.14,-1887983.4,-6.17,29567750,98.56
188,多头出场,2025-12-13 00:00,趋止损,3071.4,9160.3797,29783783.75,-1648593.5,-5.54,39664.45,0.13,-1770243.4,-5.94,27919158,93.06
188,多头进场,2025-12-12 18:00,趋进,3251.37,9160.3797,29783783.75,-1648593.5,-5.54,39664.45,0.13,-1770243.4,-5.94,27919158,93.06
189,多头出场,2025-12-23 04:00,趋止损,2980.44,9584.4404,28959674.2,-393824.66,-1.36,535386.8,1.85,-453344.03,-1.57,27525332,91.75
189,多头进场,2025-12-22 12:00,趋进,3021.53,9584.4404,28959674.2,-393824.66,-1.36,535386.8,1.85,-453344.03,-1.57,27525332,91.75
190,多头出场,2025-12-31 08:00,开盘价,2980.13,9655.5303,28762666.1,12069.41,0.04,298549,1.04,-329446.7,-1.15,27537402,91.79
190,多头进场,2025-12-30 20:00,趋进,2978.88,9655.5303,28762666.1,12069.41,0.04,298549,1.04,-329446.7,-1.15,27537402,91.79
