time,open,high,low,close,Histogram,MACD,Signal line,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Open Interest,Open Interest (开盘价),Open Interest (最高价,Open Interest (最低价),Open Interest (关闭),Volume Delta (开盘价),Volume Delta (最高价,Volume Delta (最低价),Volume Delta (关闭),CDV Line,CDV Candles (开盘价),CDV Candles (最高价,CDV Candles (最低价),CDV Candles (关闭),SMA 1,SMA 2,EMA 1,EMA 2
2026-03-13T23:30:00+08:00,45.93,46.12,45.56,45.635,-0.20173686066597557,-0.10462230406368178,0.0971145566022938,44.98624675673453,49.90287831299639,,,,,,,,,,0,130765,-162194,-162194,,95676222.47000572,95676222.47000572,94940911.07075094,95247630.10646522,,,,
2026-03-14T00:30:00+08:00,45.635,45.8,45.409,45.59,-0.1830839878768709,-0.13174042824379484,0.051343559633076075,44.575445497434615,48.322609827210336,,,,,,,,,,0,46605,-76738,-15470,,95461926.28823547,95461926.28823547,94605726.3137177,94773318.69223431,,,,
2026-03-14T01:30:00+08:00,45.59,45.72,45.39,45.52,-0.16673048930219428,-0.15706955199466677,0.009660937307527505,43.90382403842631,46.840350529412596,,,,,,,,,,0,53574,-28220,-2726,,95117622.49023488,95117622.49023488,94349589.34402072,94477657.82886921,,,,
2026-03-14T02:30:00+08:00,45.52,45.98,45.485,45.745,-0.13346924801955257,-0.1571756227169132,-0.023706374697360644,46.684506918727294,45.74585074408538,,,,,,,,,,0,262110,0,133885,,94797640.15955204,94881275.88947527,94349589.34402072,94615432.616748,,,,
2026-03-14T03:30:00+08:00,45.74,45.865,45.63,45.79,-0.10253714646750134,-0.15187780778173732,-0.04934066131423598,47.24772177990966,44.55468113600908,,,,,,,,,,0,113124,-157343,113124,,94706536.38815002,95247138.272454,94706536.38815002,95064207.08096462,,,,
2026-03-16T21:30:00+08:00,47.91,49.17,47.66,47.7,0.04456722946599978,0.006368375518263747,-0.03819885394773603,64.42544734536168,45.89451902108492,,,,,,,,,,0,1418820,0,784979,,94885371.73455733,95247138.272454,93727431.13338116,94487284.70291758,,,,
2026-03-16T22:30:00+08:00,47.7,48.55,47.51,48.395,0.17913464261651696,0.18571944932291018,0.006584806706393213,68.45116972709322,47.616818374633404,,,,,,,,,,0,756813,0,684584,,94686328.21873745,94686328.21873745,93727431.13338116,94197066.43866962,,,,
2026-03-16T23:30:00+08:00,48.39,48.635,47.805,47.805,0.21637590212508767,0.2770546843627528,0.06067878223766514,62.033430536280484,49.00128695847697,,,,,,,,,,0,117627,-517294,-517294,,94441697.32870354,94666701.74395809,93823240.70178941,94244971.22287375,,,,
2026-03-17T00:30:00+08:00,47.805,48.235,47.72,48.08,0.24537188044309982,0.3673936327915399,0.1220217523484401,63.7398888611256,50.50065914934071,,,,,,,,,,0,427751,0,427751,,94343334.27578864,94343334.27578864,93823240.70178941,94046952.21149814,,,,
2026-03-17T01:30:00+08:00,48.08,48.27,47.45,47.71,0.225958213839952,0.40446951964838007,0.17851130580842808,59.84263453877328,51.75493865915178,,,,,,,,,,0,164970,-563932,-408626,,94195143.24364339,94270663.72120689,93225980.13584104,93748321.92852396,,,,
2026-03-17T02:30:00+08:00,47.71,47.715,46.295,46.44,0.11926911422190731,0.3275976985858122,0.20832858436390492,48.81075209681395,52.284852906955265,,,,,,,,,,0,16142,-385768,-292389,,93971732.58608368,93971732.58608368,91575139.44922133,92400559.79253118,,,,
2026-03-17T03:30:00+08:00,46.44,46.46,45.695,45.74,-0.0004254871673199101,0.20779672540475502,0.20822221257207493,43.996427822494745,52.56533676799542,,,,,,,,,,0,0,-1436854,-1436854,,93186146.18930742,93186146.18930742,90199328.2662148,90887233.85771807,,,,
2026-03-17T21:30:00+08:00,46.07,46.08,44.445,45.16,-0.11433800688806756,0.06529970396199047,0.17963771085005803,40.43750305450725,51.9104996474371,,,,,,,,,,0,0,-2023566,-1585437,,92036690.02351275,92036690.02351275,87665408.74480808,88932368.50551143,,,,
2026-03-17T22:30:00+08:00,45.16,45.2,44.42,44.46,-0.22605246753349104,-0.10292787356680577,0.12312459396668526,36.59048449978253,51.12324881953324,,,,,,,,,,0,0,-805978,-805978,,90484529.26451209,90484529.26451209,86566328.48839782,87115868.61660296,,,,
2026-03-17T23:30:00+08:00,44.47,44.54,43.915,44.38,-0.29045079984138544,-0.2399389058350465,0.0505118940063389,36.16700814655324,50.493303204520295,,,,,,,,,,0,0,-422985,-118351,,88800198.94055752,88800198.94055752,85862926.93239783,86214627.71039782,,,,
2026-03-18T00:30:00+08:00,44.38,44.415,44.13,44.225,-0.325940761241598,-0.35691405754565864,-0.03097329630406062,35.31422793377621,49.831787664258975,,,,,,,,,,0,24550,-100483,-100483,,87507413.32547767,87507413.32547767,85474310.44116975,85668618.68678379,,,,
2026-03-18T01:30:00+08:00,44.22,44.44,44.12,44.3,-0.3260301257801424,-0.43851095352923863,-0.11248082774909622,36.0993622719556,49.27432610951107,,,,,,,,,,0,128048,-69664,46953,,86588016.00613073,86588016.00613073,85474310.44116975,85625867.00366975,,,,
2026-03-18T02:30:00+08:00,44.29,44.355,43.955,44.135,-0.3184995481030166,-0.510605262877867,-0.1921057147748504,35.09027361456222,48.446166587785,,,,,,,,,,0,0,-328750,-246402,,86106941.50490025,86106941.50490025,85318607.84116976,85548015.70366976,,,,
2026-03-18T03:30:00+08:00,44.135,44.16,43.975,44.04,-0.30139454223023865,-0.5688488925626487,-0.26745435033241005,34.492443076785065,47.53507525184752,,,,,,,,,,0,192524,-148241,-121720,,85827478.604285,85827478.604285,84638073.13846706,84978340.48981841,,,,
2026-03-18T21:30:00+08:00,44.19,44.94,44.055,44.37,-0.2513756966743735,-0.5816739711753769,-0.3302982745010034,38.41731066383654,45.67735120316716,,,,,,,,,,0,978782,0,978782,,85402909.5470517,85608915.10456875,84638073.13846706,85123494.1215179,,,,
2026-03-18T22:30:00+08:00,44.365,44.79,44.28,44.43,-0.20000699775840813,-0.5803070216990136,-0.38030002394060547,39.131394093910025,43.58308151508265,,,,,,,,,,0,266233,-46420,106323,,85263201.8342848,85941440.4231962,85263201.8342848,85775177.76388247,,,,
2026-03-18T23:30:00+08:00,44.43,45.17,44.4,45.11,-0.11046226101516982,-0.5183778502095677,-0.4079155891943979,46.67780835265444,42.48625135910935,,,,,,,,,,0,643777,0,643777,,85519189.79908364,86654786.75436503,85519189.79908364,86298113.58878061,,,,
2026-03-19T00:30:00+08:00,45.11,45.155,44.94,45.08,-0.0467423818937599,-0.4663435665615978,-0.4196011846678379,46.404467774723216,41.2480069957949,,,,,,,,,,0,54952,-96855,37357,,85908651.69393212,86654786.75436503,85908651.69393212,86531138.38808596,,,,
2026-03-19T01:30:00+08:00,45.08,45.48,45.005,45.44,0.02244609965749572,-0.39154356009596825,-0.41398965975346397,50.17503415462926,40.55746411121318,,,,,,,,,,0,203529,-104055,165048,,86219895.04100904,86917560.75864899,86219895.04100904,86662525.39022794,,,,
2026-03-19T02:30:00+08:00,45.44,45.7,45.1,45.16,0.05054075669108521,-0.35081371388960747,-0.4013544705806927,47.38287830581387,40.45547312614175,,,,,,,,,,0,139,-295303,-256423,,86441210.21561849,86917560.75864899,86193999.09198232,86555779.92531565,,,,
2026-03-19T03:30:00+08:00,45.16,45.315,45,45.03,0.06086328925556511,-0.3252753590112363,-0.3861386482668014,46.100179761398934,40.60574112177777,,,,,,,,,,0,55365,-408937,-408937,,86498495.07046707,86498495.07046707,85697107.14753787,85945553.1197601,,,,
2026-03-19T21:30:00+08:00,43.99,45.815,43.66,45.53,0.0995718827493991,-0.2616737948300525,-0.3612456775794516,51.534522151882584,41.39838534301886,,,,,,,,,,0,672480,-300382,481735,,86222024.09511358,87116048.01644738,85697107.14753787,86406577.58199263,,,,
2026-03-19T22:30:00+08:00,45.52,45.94,45.47,45.53,0.12190736449956968,-0.2088614719549895,-0.3307688364545592,51.534522151882584,42.46581660388315,,,,,,,,,,0,103500,-143466,-143466,,86314300.8385531,87529773.29304312,86314300.8385531,87322910.65474525,,,,
2026-03-19T23:30:00+08:00,45.52,45.705,45.12,45.505,0.1309363410092596,-0.16709841019298466,-0.29803475120224426,51.2349747353503,43.54209993165437,,,,,,,,,,0,114889,-125386,71890,,86818605.74664918,87529773.29304312,86818605.74664918,87371423.54945338,,,,
2026-03-20T00:30:00+08:00,45.51,45.68,45.21,45.495,0.13181057850614442,-0.13327152806956377,-0.2650821065757082,51.10700936214985,44.670155747966774,,,,,,,,,,0,152180,0,106461,,87095014.64805128,87213073.80586363,86988383.10905512,87100728.45745938,,,,
2026-03-20T01:30:00+08:00,45.5,45.985,45.385,45.87,0.1517971321980073,-0.07533569132819906,-0.22713282352620637,55.586764769058824,46.062113069188435,,,,,,,,,,0,172995,-30996,131168,,87097871.55275533,87305875.42572178,86988383.10905512,87147129.26738845,,,,
2026-03-20T02:30:00+08:00,45.875,46.44,45.745,46.11,0.17375382625798033,-0.00994054070373096,-0.1836943669617113,58.224858870386804,47.71458344460448,,,,,,,,,,0,522337,-79907,384050,,87122500.41007188,87854801.56960668,87122500.41007188,87580338.49766423,,,,
2026-03-20T03:30:00+08:00,46.105,46.23,45.925,46.185,0.18486842530164263,0.04739116466534199,-0.13747726063630064,59.043577351521094,49.4682358927999,,,,,,,,,,0,63194,-166441,63194,,87351419.45386806,88247718.68436079,87351419.45386806,88051260.12698373,,,,
2026-03-20T21:30:00+08:00,47,47.55,44.81,44.975,0.10617771304549566,-0.004755119329431068,-0.11093283237492672,44.04572119729416,49.87026521661831,,,,,,,,,,0,0,-1443440,-1443440,,87701339.7904259,88247718.68436079,86493603.92888634,87370661.30662356,,,,
2026-03-20T22:30:00+08:00,44.98,45.86,44.955,45.31,0.0736801587640389,-0.018832633919878106,-0.092512792683917,47.98510561088693,50.50267318211666,,,,,,,,,,0,205508,-313064,-155107,,87536000.54852474,87536000.54852474,86493603.92888634,86873916.7203228,,,,
2026-03-20T23:30:00+08:00,45.295,45.63,45.145,45.195,0.04295327578230196,-0.038821197956039555,-0.08177447373834151,46.767854380359736,50.50910504123846,,,,,,,,,,0,180399,-7270,11703,,87204958.63442376,87254229.51175927,86923133.38289328,87088681.44732627,,,,
2026-03-21T00:30:00+08:00,45.19,45.19,44.5,44.555,-0.018655203461043393,-0.10509347806464575,-0.08643827460360236,40.59589937130356,50.09420729813706,,,,,,,,,,0,0,-273597,-273597,,87146820.04087502,87146820.04087502,86361055.90100922,86642094.64195125,,,,
2026-03-21T01:30:00+08:00,44.56,44.57,44.07,44.16,-0.08071220406252945,-0.18732852968176417,-0.10661632561923472,37.32216152631948,49.17614496754351,,,,,,,,,,0,0,-339795,-339795,,86894457.34141314,86894457.34141314,85825200.40100922,86093128.15100922,,,,
2026-03-21T02:30:00+08:00,44.155,44.16,43.695,43.77,-0.13929415088758273,-0.28073401422871314,-0.1414398633411304,34.37467063273867,48.246987276609566,,,,,,,,,,0,0,-531131,-490377,,86493792.74621117,86493792.74621117,85130488.08918126,85477844.24509524,,,,
2026-03-21T03:30:00+08:00,43.77,44.15,43.645,43.94,-0.15657166758983565,-0.33715444782842496,-0.1805827802385893,36.720610949908924,47.57701807578885,,,,,,,,,,0,273483,-162210,-162210,,85985818.49565321,85985818.49565321,85130488.08918126,85501719.37630996,,,,
2026-03-23T21:30:00+08:00,44.58,45.46,44.31,45.315,-0.0697975083137054,-0.2678296656307211,-0.19803215731701568,51.74577620204612,47.592107650800536,,,,,,,,,,0,729113,-378004,648497,,85743768.93598159,87447573.93952563,85743768.93598159,86660262.30148216,,,,
2026-03-23T22:30:00+08:00,45.31,45.395,44.555,44.63,-0.053659923991381364,-0.26510706230624237,-0.211447138314861,45.898805475116035,47.18955645960292,,,,,,,,,,0,46562,-239068,-239068,,86202015.61873187,87447573.93952563,86202015.61873187,87009895.36809707,,,,
2026-03-23T23:30:00+08:00,44.64,44.81,43.745,43.775,-0.09336863625645617,-0.3281579336354312,-0.23478929737897505,39.84667444763939,46.376106439052144,,,,,,,,,,0,0,-516202,-472584,,86605955.49341446,86605955.49341446,85730406.97507225,86151311.88587038,,,,
2026-03-24T00:30:00+08:00,43.77,44.11,43.75,43.925,-0.10164957084216925,-0.3618512609316866,-0.2602016900895174,41.308816715500484,45.67623553572004,,,,,,,,,,0,125146,0,100634,,86378633.68964243,86378633.68964243,85730406.97507225,85933622.39868337,,,,
2026-03-24T01:30:00+08:00,43.925,44.265,43.925,44.18,-0.08286554832670778,-0.3637836254979021,-0.2809180771711943,43.809322497240785,44.83498965916162,,,,,,,,,,0,159850,-17719,99126,,86156128.0441629,86746774.07229447,86136837.82229447,86441805.94729447,,,,
2026-03-24T02:30:00+08:00,44.19,44.445,44.17,44.285,-0.057486206761006464,-0.3527758356224524,-0.29528962886144594,44.85121932166194,43.87972969139555,,,,,,,,,,0,43514,-89476,-89476,,86298966.99572869,87090919.81774902,86298966.99572869,86918846.94502175,,,,
2026-03-24T03:30:00+08:00,44.285,44.34,44,44,-0.05406134020484005,-0.362866304117496,-0.30880496391265594,42.54525883979935,42.70127836912972,,,,,,,,,,0,0,-598274,-598274,,86608906.97037521,87090919.81774902,86400504.37657256,86745712.09716079,,,,
2026-03-24T21:30:00+08:00,43.45,44.115,43.2,43.6,-0.07179246502921671,-0.39854554519917684,-0.32675308016996013,39.47746167725938,42.37497411769866,,,,,,,,,,0,271628,-167400,45634,,86677309.533768,87160384.78640863,86400504.37657256,86780444.5814906,,,,
2026-03-24T22:30:00+08:00,43.6,44.18,43.505,44,-0.05063649992460273,-0.39004870507571354,-0.3394122051511108,43.838583400032796,42.07879395978051,,,,,,,,,,0,73474,-51053,-10001,,86728877.0576293,87670470.69381604,86728877.0576293,87415427.74011233,,,,
2026-03-24T23:30:00+08:00,43.99,44.19,43.565,43.74,-0.04822013816360221,-0.3996873778556136,-0.3514672396920114,41.733524842325735,41.71919899277808,,,,,,,,,,0,144748,-75611,34577,,87072152.39887083,87670470.69381604,87072152.39887083,87480502.24381603,,,,
2026-03-25T00:30:00+08:00,43.74,43.875,43.245,43.43,-0.060757046150367144,-0.4274135473799703,-0.36665650122960314,39.30980936384382,41.62733542081667,,,,,,,,,,0,61128,-346744,-282264,,87276327.32134342,87290533.79381603,86832929.85730809,87061731.82556206,,,,
2026-03-25T01:30:00+08:00,43.44,43.92,43.315,43.86,-0.03464561966599955,-0.4099635258121026,-0.37531790614610305,44.15460417070849,42.11536703827303,,,,,,,,,,0,357170,-17280,357170,,87169029.57345274,87239441.46887834,86832929.85730809,87036185.66309321,,,,
