交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
12,多头出场,2024-06-01 00:00,卖,2330.16,1499.9,3522815.13,-28860.82,-0.82,16030.47,0.45,-31816.34,-0.90,43705.52,2.19
12,多头进场,2024-05-30 22:00,买 ,2348.7,1499.9,3522815.13,-28860.82,-0.82,16030.47,0.45,-31816.34,-0.90,43705.52,2.19
13,多头出场,2024-06-04 20:00,卖,2328.05,1488.4,3473657.688,-9628.88,-0.28,30705.58,0.88,-12978.96,-0.37,34076.64,1.70
13,多头进场,2024-06-03 22:00,买 ,2333.82,1488.4,3473657.688,-9628.88,-0.28,30705.58,0.88,-12978.96,-0.37,34076.64,1.70
14,多头出场,2024-06-07 18:00,卖,2339.4,1479.1,3457292.713,1876.2,0.05,73924.51,2.14,-14185.48,-0.41,35952.84,1.80
14,多头进场,2024-06-05 14:00,买 ,2337.43,1479.1,3457292.713,1876.2,0.05,73924.51,2.14,-14185.48,-0.41,35952.84,1.80
15,多头出场,2024-06-13 12:00,卖,2314.34,1499.7,3460482.765,9293.24,0.27,50875.65,1.47,-14976.18,-0.43,45246.08,2.26
15,多头进场,2024-06-11 00:00,买 ,2307.45,1499.7,3460482.765,9293.24,0.27,50875.65,1.47,-14976.18,-0.43,45246.08,2.26
16,多头出场,2024-06-17 16:00,卖,2317.07,1501.4,3476341.56,1464.06,0.04,31368.29,0.90,-1332.21,-0.04,46710.15,2.34
16,多头进场,2024-06-14 16:00,买 ,2315.4,1501.4,3476341.56,1464.06,0.04,31368.29,0.90,-1332.21,-0.04,46710.15,2.34
17,多头出场,2024-06-20 06:00,卖,2328.32,1495,3478790.25,1004.21,0.03,11617.58,0.33,-5216.12,-0.15,47714.35,2.39
17,多头进场,2024-06-19 00:00,买 ,2326.95,1495,3478790.25,1004.21,0.03,11617.58,0.33,-5216.12,-0.15,47714.35,2.39
18,多头出场,2024-07-01 08:00,卖,2325.03,1504.9,3480382.23,17508.52,0.50,40230.63,1.16,-973.53,-0.03,65222.87,3.26
18,多头进场,2024-06-27 18:00,买 ,2312.7,1504.9,3480382.23,17508.52,0.50,40230.63,1.16,-973.53,-0.03,65222.87,3.26
19,多头出场,2024-07-25 06:00,卖,2397.89,1461.9,3510241.185,-5818.15,-0.17,44675.41,1.27,-19297.33,-0.55,59404.72,2.97
19,多头进场,2024-07-23 10:00,买 ,2401.15,1461.9,3510241.185,-5818.15,-0.17,44675.41,1.27,-19297.33,-0.55,59404.72,2.97
20,多头出场,2024-07-30 02:00,卖,2378.34,1475.8,3500376.23,8526.39,0.24,45756.03,1.31,-10162.03,-0.29,67931.11,3.40
20,多头进场,2024-07-26 12:00,买 ,2371.85,1475.8,3500376.23,8526.39,0.24,45756.03,1.31,-10162.03,-0.29,67931.11,3.40
21,多头出场,2024-08-01 18:00,卖,2433.07,1470.4,3514858.864,61663.4,1.75,99489.38,2.83,-10643.58,-0.30,129594.51,6.48
21,多头进场,2024-07-30 16:00,买 ,2390.41,1470.4,3514858.864,61663.4,1.75,99489.38,2.83,-10643.58,-0.30,129594.51,6.48
22,多头出场,2024-08-06 22:00,卖,2395.76,1501.3,3619649.313,-23977.28,-0.66,1423.76,0.04,-33676.64,-0.93,105617.22,5.28
22,多头进场,2024-08-06 20:00,买 ,2411.01,1501.3,3619649.313,-23977.28,-0.66,1423.76,0.04,-33676.64,-0.93,105617.22,5.28
23,多头出场,2024-08-12 10:00,卖,2426.13,1497.8,3578888.254,53887.35,1.51,70878.27,1.98,-13028.48,-0.36,159504.56,7.98
23,多头进场,2024-08-07 16:00,买 ,2389.43,1497.8,3578888.254,53887.35,1.51,70878.27,1.98,-13028.48,-0.36,159504.56,7.98
24,多头出场,2024-09-04 18:00,卖,2481.72,1472.3,3670488.069,-17750.36,-0.48,5250.29,0.14,-31586.66,-0.86,141754.2,7.09
24,多头进场,2024-09-04 06:00,买 ,2493.03,1472.3,3670488.069,-17750.36,-0.48,5250.29,0.14,-31586.66,-0.86,141754.2,7.09
25,多头出场,2024-09-06 22:00,卖,2509.48,1459.6,3640432.148,21309.37,0.59,50744.28,1.39,-4282.64,-0.12,163063.58,8.15
25,多头进场,2024-09-05 00:00,买 ,2494.13,1459.6,3640432.148,21309.37,0.59,50744.28,1.39,-4282.64,-0.12,163063.58,8.15
26,多头出场,2024-10-14 20:00,卖,2652.23,1409.1,3676553.265,59591.96,1.62,80767.68,2.20,-9471.09,-0.26,222655.53,11.13
26,多头进场,2024-10-10 10:00,买 ,2609.15,1409.1,3676553.265,59591.96,1.62,80767.68,2.20,-9471.09,-0.26,222655.53,11.13
27,多头出场,2024-11-11 11:00,卖,2672.04,1413,3777923.97,-3464.48,-0.09,51375.19,1.36,-10584.86,-0.28,219191.06,10.96
27,多头进场,2024-11-07 21:00,买 ,2673.69,1413,3777923.97,-3464.48,-0.09,51375.19,1.36,-10584.86,-0.28,219191.06,10.96
28,多头出场,2024-11-14 05:00,卖,2573.82,1450.9,3772020.802,-38791.32,-1.03,27233.44,0.72,-39348.36,-1.04,180399.73,9.02
28,多头进场,2024-11-13 05:00,买 ,2599.78,1450.9,3772020.802,-38791.32,-1.03,27233.44,0.72,-39348.36,-1.04,180399.73,9.02
29,多头出场,2024-11-20 13:00,卖,2636.71,1439.8,3706088.394,89121.3,2.40,97048.13,2.62,-28473.63,-0.77,269521.03,13.48
29,多头进场,2024-11-15 01:00,买 ,2574.03,1439.8,3706088.394,89121.3,2.40,97048.13,2.62,-28473.63,-0.77,269521.03,13.48
30,多头出场,2024-11-22 07:00,卖,2669.77,1456.4,3857522.988,29568.17,0.77,35714.86,0.93,-2559.33,-0.07,299089.22,14.95
30,多头进场,2024-11-21 03:00,买 ,2648.67,1456.4,3857522.988,29568.17,0.77,35714.86,0.93,-2559.33,-0.07,299089.22,14.95
31,多头出场,2024-11-28 11:00,卖,2628.29,1484.8,3907637.248,-6323.77,-0.16,38864.99,0.99,-16607.14,-0.42,292765.44,14.64
31,多头进场,2024-11-27 05:00,买 ,2631.76,1484.8,3907637.248,-6323.77,-0.16,38864.99,0.99,-16607.14,-0.42,292765.44,14.64
32,多头出场,2024-12-19 03:00,卖,2636.79,1472,3896972.8,-16784.67,-0.43,5892.25,0.15,-21604.7,-0.55,275980.78,13.80
32,多头进场,2024-12-18 03:00,买 ,2647.4,1472,3896972.8,-16784.67,-0.43,5892.25,0.15,-21604.7,-0.55,275980.78,13.80
33,多头出场,2024-12-24 03:00,卖,2610.57,1489,3868570.9,17404.47,0.45,51877.18,1.34,-2798.9,-0.07,293385.25,14.67
33,多头进场,2024-12-20 13:00,买 ,2598.1,1489,3868570.9,17404.47,0.45,51877.18,1.34,-2798.9,-0.07,293385.25,14.67
34,多头出场,2024-12-24 19:00,卖,2615.66,1488.3,3897991.647,-6273.5,-0.16,2987.22,0.08,-9306.14,-0.24,287111.75,14.36
34,多头进场,2024-12-24 15:00,买 ,2619.09,1488.3,3897991.647,-6273.5,-0.16,2987.22,0.08,-9306.14,-0.24,287111.75,14.36
35,多头出场,2024-12-27 17:00,卖,2626.29,1482.8,3887367.792,5727.78,0.15,25440.04,0.65,-1621.07,-0.04,292839.5,14.64
35,多头进场,2024-12-26 09:00,买 ,2621.64,1482.8,3887367.792,5727.78,0.15,25440.04,0.65,-1621.07,-0.04,292839.5,14.64
36,多头出场,2025-01-03 21:00,卖,2655.36,1489.3,3897021.524,56428.38,1.45,71855,1.84,-17294.5,-0.44,349267.88,17.46
36,多头进场,2024-12-31 17:00,买 ,2616.68,1489.3,3897021.524,56428.38,1.45,71855,1.84,-17294.5,-0.44,349267.88,17.46
37,多头出场,2025-03-05 19:00,卖,2913.35,1397.2,3993001.992,76321.1,1.91,97302.85,2.44,-598.95,-0.01,425589,21.28
