time,open,high,low,close,Volume
2024-05-24T16:00:00+08:00,18641.390000000003,18681.02,18637.890000000003,18667.27,20938
2024-05-24T18:00:00+08:00,18667.27,18697.390000000003,18665.640000000003,18694.890000000003,19750
2024-05-24T20:00:00+08:00,18694.890000000003,18723.170000000002,18659.84,18685.920000000002,119232
2024-05-24T22:00:00+08:00,18685.920000000002,18854.920000000002,18685.59,18832.54,183451
2024-05-25T00:00:00+08:00,18832.54,18851.670000000002,18810.29,18839.670000000002,93479
2024-05-25T02:00:00+08:00,18839.670000000002,18862.170000000002,18771.670000000002,18810.170000000002,123803
2024-05-25T04:00:00+08:00,18810.170000000002,18816.02,18801.640000000003,18808.09,9719
2024-05-27T06:00:00+08:00,18808.09,18829.72,18779.34,18779.84,11104
2024-05-27T08:00:00+08:00,18779.84,18797.84,18777.22,18795.59,17059
2024-05-27T10:00:00+08:00,18795.59,18799.59,18779.84,18793.59,11489
2024-05-27T12:00:00+08:00,18793.59,18812.97,18791.34,18809.84,8748
2024-05-27T14:00:00+08:00,18809.84,18832.09,18802.72,18817.09,14692
2024-05-27T16:00:00+08:00,18817.09,18827.84,18806.59,18812.59,12669
2024-05-27T18:00:00+08:00,18812.59,18824.72,18809.97,18821.84,8999
2024-05-27T20:00:00+08:00,18821.84,18854.24,18811.34,18826.99,17472
2024-05-27T22:00:00+08:00,18826.99,18884.74,18819.74,18882.74,21647
2024-05-28T00:00:00+08:00,18882.74,18899.370000000003,18877.120000000003,18894.74,8519
2024-05-28T06:00:00+08:00,18894.74,18900.510000000002,18850.510000000002,18853.88,13691
2024-05-28T08:00:00+08:00,18853.88,18861.88,18831.010000000002,18857.510000000002,20660
2024-05-28T10:00:00+08:00,18857.510000000002,18875.010000000002,18855.010000000002,18873.38,10443
2024-05-28T12:00:00+08:00,18873.38,18877.760000000002,18860.510000000002,18868.88,9158
2024-05-28T14:00:00+08:00,18868.88,18888.88,18855.13,18865.38,22042
2024-05-28T16:00:00+08:00,18865.38,18926.260000000002,18864.13,18914.88,24610
2024-05-28T18:00:00+08:00,18914.88,18916.88,18855.260000000002,18871.63,26889
2024-05-28T20:00:00+08:00,18871.63,18882.91,18785.16,18810.280000000002,122312
2024-05-28T22:00:00+08:00,18810.280000000002,18885.530000000002,18788.66,18868.91,155038
2024-05-29T00:00:00+08:00,18868.91,18890.530000000002,18837.780000000002,18848.780000000002,118318
2024-05-29T02:00:00+08:00,18848.780000000002,18891.91,18765.91,18889.66,182128
2024-05-29T04:00:00+08:00,18889.66,18913.38,18888.510000000002,18896.960000000003,14747
2024-05-29T06:00:00+08:00,18896.960000000003,18898.100000000002,18874.850000000002,18878.350000000002,7032
2024-05-29T08:00:00+08:00,18878.350000000002,18882.97,18851.100000000002,18857.97,22647
2024-05-29T10:00:00+08:00,18857.97,18861.97,18823.100000000002,18835.22,17391
2024-05-29T12:00:00+08:00,18835.22,18848.97,18805.22,18808.350000000002,15213
2024-05-29T14:00:00+08:00,18808.350000000002,18837.100000000002,18793.600000000002,18799.22,33254
2024-05-29T16:00:00+08:00,18799.22,18823.72,18746.170000000002,18765.600000000002,42360
2024-05-29T18:00:00+08:00,18765.600000000002,18780.72,18743.850000000002,18766.100000000002,28755
2024-05-29T20:00:00+08:00,18766.100000000002,18798.25,18703.97,18780.370000000003,126754
2024-05-29T22:00:00+08:00,18780.370000000003,18828.5,18759.620000000003,18799.870000000003,178485
2024-05-30T00:00:00+08:00,18799.870000000003,18826.870000000003,18765.5,18808.370000000003,121488
2024-05-30T02:00:00+08:00,18808.370000000003,18814.25,18733.75,18759.25,131355
2024-05-30T04:00:00+08:00,18759.25,18762.350000000002,18688.72,18695.920000000002,20194
2024-05-30T06:00:00+08:00,18695.920000000002,18715.620000000003,18656.620000000003,18674.870000000003,15822
2024-05-30T08:00:00+08:00,18674.870000000003,18683.24,18655.99,18664.99,24569
2024-05-30T10:00:00+08:00,18664.99,18669.99,18628.370000000003,18637.620000000003,19087
2024-05-30T12:00:00+08:00,18637.620000000003,18638.120000000003,18610.74,18626.120000000003,18988
2024-05-30T14:00:00+08:00,18626.120000000003,18654.120000000003,18609.620000000003,18649.870000000003,27852
2024-05-30T16:00:00+08:00,18649.870000000003,18689.370000000003,18649.24,18681.99,24405
2024-05-30T18:00:00+08:00,18681.99,18712.370000000003,18666.620000000003,18696.870000000003,24122
2024-05-30T20:00:00+08:00,18696.870000000003,18738.24,18649.140000000003,18690.390000000003,122295
2024-05-30T22:00:00+08:00,18690.390000000003,18704.390000000003,18575.52,18620.77,194620
2024-05-31T00:00:00+08:00,18620.77,18680.77,18620.02,18654.77,89182
2024-05-31T02:00:00+08:00,18654.77,18657.02,18498.440000000002,18555.890000000003,163885
2024-05-31T04:00:00+08:00,18555.890000000003,18558.99,18505.620000000003,18547.07,21789
2024-05-31T06:00:00+08:00,18547.07,18547.07,18508.79,18512.41,14316
2024-05-31T08:00:00+08:00,18512.41,18521.79,18456.29,18508.66,35034
2024-05-31T10:00:00+08:00,18508.66,18521.04,18479.91,18515.79,24051
2024-05-31T12:00:00+08:00,18515.79,18520.79,18489.79,18491.04,17527
2024-05-31T14:00:00+08:00,18491.04,18511.41,18467.29,18478.04,30114
2024-05-31T16:00:00+08:00,18478.04,18526.29,18471.91,18494.16,33742
2024-05-31T18:00:00+08:00,18494.16,18519.91,18438.79,18515.79,34466
2024-05-31T20:00:00+08:00,18515.79,18621.54,18483.06,18497.81,163088
2024-05-31T22:00:00+08:00,18497.81,18502.56,18248.81,18254.940000000002,289649
2024-06-01T00:00:00+08:00,18254.940000000002,18321.190000000002,18195.440000000002,18295.440000000002,131220
2024-06-01T02:00:00+08:00,18295.440000000002,18555.190000000002,18264.31,18553.06,199265
